order_id,user_id,amount,quantity,created_at,status
A1603,0838,95.43,3,,refunded
A1467,0784,270.83,6,,PAID
A2474,0188,326.58,1,2025-03-20T08:25:00Z,
A4329,0883,87.16,7,2025-08-31T05:27:00Z,
A0835,0923,457.88,4,,refund
A2720,0662,291.33,2,2025-06-14T18:31:00Z,PAID
A2612,0432,10.94,6,2025-11-04T04:49:00Z,PAID
A1215,0948,58.73,8,2025-05-09T08:25:00Z,
A0364,0888,487.09,9,2025-12-08T11:38:00Z,refunded
A0160,0367,338.81,4,2025-06-24T08:17:00Z,refunded
A0443,0602,211.35,,2025-10-10T04:28:00Z,Pending
A1578,0071,378.82,1,2025-12-19T11:04:00Z,refunded
A1201,0363,424.83,,2025-05-20T04:18:00Z,PAID
A1519,0183,77.4,,2025-11-16T04:42:00Z,Refunded
A0027,0396,498.58,,2025-01-15T01:52:00Z,Pending
A2053,0597,12.47,9,2025-08-17T05:10:00Z,refund
A2012,0777,362.59,2,,paid
A0472,0692,243.78,7,2025-01-17T23:25:00Z,paid
A1543,0380,131.62,2,2025-07-17T21:22:00Z,refunded
A0558,0773,335.55,7,,refunded
A2346,0406,419.82,9,2025-01-03T16:36:00Z,Pending
A1647,0826,336.49,6,2025-11-27T14:03:00Z,Refunded
A2018,0750,86.17,8,2025-10-29T10:24:00Z,
A1996,0635,100.9,6,2025-10-25T07:36:00Z,paid
A4465,0391,426.91,2,2025-08-29T07:11:00Z,Paid
A0262,0230,7.36,3,2025-07-13T01:49:00Z,PAID
A2295,0275,,6,2025-01-31T22:59:00Z,paid
A1310,0869,444.65,,2025-02-06T15:06:00Z,Pending
A1971,0469,95.59,2,2025-04-15T20:25:00Z,
A3994,0760,397.9,9,2025-08-07T03:03:00Z,refunded
A1433,0398,423.02,3,2025-03-22T13:36:00Z,paid
A0245,0675,,2,2025-02-09T21:09:00Z,paid
A0908,0869,444.61,7,,refund
A0489,0825,339.92,6,2025-05-16T22:07:00Z,Pending
A2138,0352,418.91,6,2025-02-08T20:29:00Z,Refunded
A2007,0962,452.43,2,2025-10-24T19:21:00Z,Paid
A4599,0252,336.63,7,2025-04-12T13:15:00Z,PAID
A4892,0772,249.95,6,,Refunded
A4991,0013,111.15,4,2025-07-09T07:24:00Z,Pending
A1403,0837,242.11,,2025-03-28T00:51:00Z,Paid
A2894,0476,71.37,6,2025-05-03T10:48:00Z,refund
A0059,0645,118.5,5,2025-05-25T00:53:00Z,refunded
A4583,0194,430.64,,2025-08-23T13:30:00Z,Pending
A0136,0215,287.75,9,2025-01-20T23:21:00Z,Pending
A3913,0211,347.06,3,,refunded
A3827,0501,423.46,2,,PAID
A4664,0476,,1,2025-10-22T07:57:00Z,refund
A3140,0408,482.8,5,2025-10-12T15:18:00Z,PAID
A2553,0367,13.74,6,2025-04-20T10:05:00Z,Pending
A0359,0652,122.83,4,2025-11-15T15:34:00Z,refund
A2802,0502,350.32,9,2025-11-28T07:35:00Z,refund
A4581,0342,49.19,,2025-07-24T21:44:00Z,refund
A4335,0146,,7,2025-09-30T15:52:00Z,Refunded
A1076,0391,,4,,refunded
A0921,0750,9.36,6,2025-01-02T12:08:00Z,PAID
A3403,0706,478.5,2,2025-10-08T03:55:00Z,
A1606,0764,171.69,2,2025-12-08T06:51:00Z,paid
A4089,0400,201.89,8,2025-03-15T22:33:00Z,PAID
A0182,0239,295.36,9,2025-09-02T03:12:00Z,refunded
A1362,0061,288.33,2,2025-07-16T03:42:00Z,refund
A0669,0922,421.95,1,2025-09-19T22:13:00Z,PAID
A4422,0684,470.84,,2025-03-01T15:17:00Z,refund
A2408,0960,,9,2025-02-14T08:25:00Z,Refunded
A1755,0138,,7,2025-10-21T03:20:00Z,paid
A3037,0796,384.53,9,2025-11-09T11:00:00Z,Paid
A4733,0508,429.33,9,2025-11-18T11:38:00Z,refund
A4453,0303,124.33,9,2025-03-21T02:43:00Z,PAID
A3810,0746,143.2,9,2025-10-31T06:07:00Z,Paid
A3834,0221,,9,2025-10-24T08:30:00Z,Refunded
A0905,0589,246.97,4,2025-07-24T16:42:00Z,refund
A0032,0788,,9,2025-10-09T09:47:00Z,refunded
A2830,0840,173.86,4,2025-02-08T00:15:00Z,Pending
A2185,0090,483.75,4,2025-02-28T05:06:00Z,paid
A0952,0963,346.67,3,2025-11-04T21:39:00Z,
A2196,0995,100.46,8,2025-11-25T12:16:00Z,
A2086,0630,424.95,1,2025-12-16T08:52:00Z,Refunded
A2582,0056,479.04,1,2025-12-06T08:52:00Z,paid
A3118,0677,68.52,7,2025-07-22T08:50:00Z,Paid
A0616,0198,449.01,7,2025-12-08T12:31:00Z,refunded
A0693,0206,209.59,6,2025-11-06T01:08:00Z,paid
A3058,0163,434.86,4,2025-09-15T02:35:00Z,refund
A0832,0044,437.68,4,2025-05-18T22:38:00Z,Pending
A4303,0244,43.21,6,2025-09-04T05:23:00Z,Paid
A1438,0008,261.87,,2025-04-11T00:43:00Z,refund
A1862,0795,248.35,9,2025-04-04T14:30:00Z,PAID
A0585,0431,353.2,4,2025-09-26T06:04:00Z,refund
A1683,0116,299.08,1,2025-07-16T01:56:00Z,Refunded
A2518,0761,20.79,1,2025-06-04T04:36:00Z,refund
A3011,0165,154.26,8,2025-06-30T22:51:00Z,Refunded
A3997,0736,235.52,9,2025-08-07T20:56:00Z,refunded
A2059,0979,76.35,2,,Pending
A4767,0679,177.04,2,2025-12-06T19:51:00Z,Paid
A1773,0391,72.85,2,2025-02-28T07:43:00Z,refunded
A3129,0698,,6,2025-07-10T02:19:00Z,Paid
A0065,0356,132.04,7,2025-06-19T18:45:00Z,refunded
A1251,0533,,8,2025-11-12T17:07:00Z,Pending
A2502,0225,330.2,6,2025-03-24T01:22:00Z,refund
A0872,0195,224.68,1,2025-01-18T02:25:00Z,
A0862,0313,482.85,2,2025-02-21T18:59:00Z,refund
A2620,0788,394.2,2,2025-09-16T00:06:00Z,Paid
A4148,0844,,6,2025-01-26T07:00:00Z,refund
A1385,0911,221.37,1,2025-06-29T10:35:00Z,Pending
A3770,0571,329.97,5,2025-02-08T13:03:00Z,refund
A0011,0643,124.19,,2025-04-24T08:23:00Z,refunded
A0324,0026,317.54,3,2025-05-17T00:04:00Z,Refunded
A2857,0254,452.09,5,2025-01-01T00:50:00Z,Refunded
A0934,0811,365.01,2,2025-09-12T15:42:00Z,Pending
A0163,0796,212.99,1,2025-01-07T21:03:00Z,Refunded
A1213,0971,112.29,6,2025-07-10T01:39:00Z,Pending
A3901,0838,116.38,9,2025-08-14T11:17:00Z,refund
A2550,0978,74.57,3,2025-04-30T10:53:00Z,refund
A4781,0089,396.13,4,2025-11-12T16:47:00Z,refunded
A2450,0086,8.71,9,2025-05-28T13:50:00Z,paid
A2154,0998,156.66,,2025-04-03T17:22:00Z,paid
A4982,0582,469.25,4,2025-11-30T21:23:00Z,Refunded
A0884,0520,174.13,1,2025-09-02T12:38:00Z,Paid
A1936,0391,,5,2025-02-20T20:38:00Z,Pending
A4999,0991,389.24,,2025-08-31T10:56:00Z,refunded
A4082,0142,377.72,,2025-05-21T05:59:00Z,refunded
A0051,0557,210.03,9,,refunded
A4464,0077,222.57,3,,refunded
A0107,0425,243.82,7,2025-10-20T06:16:00Z,refunded
A0614,0892,286.09,1,2025-02-20T08:25:00Z,Paid
A4284,0881,349.19,4,2025-09-30T18:33:00Z,Pending
A3604,0574,188.5,4,2025-04-23T12:50:00Z,refunded
A4397,0220,246.5,8,2025-04-02T05:35:00Z,Paid
A4354,0471,215.45,9,2025-04-28T23:16:00Z,Refunded
A4536,0412,474.66,3,2025-03-24T21:50:00Z,Pending
A2952,0504,297.29,9,2025-08-08T23:49:00Z,refunded
A4201,0606,152.57,8,2025-01-23T08:04:00Z,
A4513,0215,355.32,6,2025-05-10T08:28:00Z,Paid
A3630,0066,368.09,6,2025-11-19T12:17:00Z,refund
A3931,0101,105.99,3,2025-06-09T21:31:00Z,Pending
